time,left_x,left_y,left_z,right_x,right_y,right_z
0.000,0.18000,0.00000,0.72000,-0.18000,0.00000,0.72000
0.020,0.18088,0.00000,0.72102,-0.18088,0.00000,0.72102
0.040,0.18176,0.00000,0.72204,-0.18176,0.00000,0.72204
0.060,0.18264,0.00000,0.72306,-0.18264,0.00000,0.72306
0.080,0.18352,0.00000,0.72408,-0.18352,0.00000,0.72408
0.100,0.18440,0.00000,0.72509,-0.18440,0.00000,0.72509
0.120,0.18528,0.00000,0.72611,-0.18528,0.00000,0.72611
0.140,0.18615,0.00000,0.72712,-0.18615,0.00000,0.72712
0.160,0.18703,0.00000,0.72813,-0.18703,0.00000,0.72813
0.180,0.18791,0.00000,0.72914,-0.18791,0.00000,0.72914
0.200,0.18878,0.00000,0.73015,-0.18878,0.00000,0.73015
0.220,0.18966,0.00000,0.73115,-0.18966,0.00000,0.73115
0.240,0.19053,0.00000,0.73216,-0.19053,0.00000,0.73216
0.260,0.19140,0.00000,0.73315,-0.19140,0.00000,0.73315
0.280,0.19227,0.00000,0.73415,-0.19227,0.00000,0.73415
0.300,0.19314,0.00000,0.73513,-0.19314,0.00000,0.73513
0.320,0.19401,0.00000,0.73612,-0.19401,0.00000,0.73612
0.340,0.19487,0.00000,0.73710,-0.19487,0.00000,0.73710
0.360,0.19574,0.00000,0.73807,-0.19574,0.00000,0.73807
0.380,0.19660,0.00000,0.73904,-0.19660,0.00000,0.73904
0.400,0.19746,0.00000,0.74001,-0.19746,0.00000,0.74001
0.420,0.19832,0.00000,0.74097,-0.19832,0.00000,0.74097
0.440,0.19917,0.00000,0.74192,-0.19917,0.00000,0.74192
0.460,0.20002,0.00000,0.74287,-0.20002,0.00000,0.74287
0.480,0.20088,0.00000,0.74381,-0.20088,0.00000,0.74381
0.500,0.20172,0.00000,0.74474,-0.20172,0.00000,0.74474
0.520,0.20257,0.00000,0.74566,-0.20257,0.00000,0.74566
0.540,0.20341,0.00000,0.74658,-0.20341,0.00000,0.74658
0.560,0.20425,0.00000,0.74749,-0.20425,0.00000,0.74749
0.580,0.20509,0.00000,0.74840,-0.20509,0.00000,0.74840
0.600,0.20592,0.00000,0.74929,-0.20592,0.00000,0.74929
0.620,0.20675,0.00000,0.75018,-0.20675,0.00000,0.75018
0.640,0.20758,0.00000,0.75105,-0.20758,0.00000,0.75105
0.660,0.20841,0.00000,0.75192,-0.20841,0.00000,0.75192
0.680,0.20923,0.00000,0.75278,-0.20923,0.00000,0.75278
0.700,0.21004,0.00000,0.75363,-0.21004,0.00000,0.75363
0.720,0.21086,0.00000,0.75447,-0.21086,0.00000,0.75447
0.740,0.21167,0.00000,0.75530,-0.21167,0.00000,0.75530
0.760,0.21247,0.00000,0.75612,-0.21247,0.00000,0.75612
0.780,0.21328,0.00000,0.75693,-0.21328,0.00000,0.75693
0.800,0.21408,0.00000,0.75773,-0.21408,0.00000,0.75773
0.820,0.21487,0.00000,0.75852,-0.21487,0.00000,0.75852
0.840,0.21566,0.00000,0.75929,-0.21566,0.00000,0.75929
0.860,0.21644,0.00000,0.76006,-0.21644,0.00000,0.76006
0.880,0.21723,0.00000,0.76081,-0.21723,0.00000,0.76081
0.900,0.21800,0.00000,0.76155,-0.21800,0.00000,0.76155
0.920,0.21877,0.00000,0.76228,-0.21877,0.00000,0.76228
0.940,0.21954,0.00000,0.76300,-0.21954,0.00000,0.76300
0.960,0.22030,0.00000,0.76370,-0.22030,0.00000,0.76370
0.980,0.22106,0.00000,0.76440,-0.22106,0.00000,0.76440
1.000,0.22181,0.00000,0.76508,-0.22181,0.00000,0.76508
1.020,0.22256,0.00000,0.76574,-0.22256,0.00000,0.76574
